Protocol,Sector,Source,Year(Calendar Year), GHG Emissions(mt CO2e) ,,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Electricity,2005,"2,513,636",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Electricity,2006,"2,193,105",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Electricity,2007,"2,506,091",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Electricity,2008,"2,458,906",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Electricity,2009,"2,236,563",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Electricity,2010,"2,261,843",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Electricity,2011,"2,118,624",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Electricity,2012,"1,883,819",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Electricity,2013,"1,885,570",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Electricity,2014,"1,905,547",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Electricity,2015,"1,988,389",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Electricity,2016,"1,790,583",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Electricity,2017,"1,738,300",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Electricity,2018,"1,630,233",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Electricity,2019,"1,590,867",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Fuel Oil,2005,"417,865",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Fuel Oil,2006,"292,509",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Fuel Oil,2007,"288,561",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Fuel Oil,2008,"208,381",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Fuel Oil,2009,"266,718",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Fuel Oil,2010,"452,417",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Fuel Oil,2011,"296,312",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Fuel Oil,2012,"192,173",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Fuel Oil,2013,"201,216",,,,,,,,
