Department Longname,Department,Sector,Fuel Type,Year (Fiscal Year),Quantity,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Electricity,2005, - ,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Electricity,2006, - ,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Electricity,2007,"471,560",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Electricity,2008,"312,320",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Electricity,2009,"420,280",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Electricity,2010,"455,320",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Electricity,2011,"540,720",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Electricity,2012,"611,240",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Electricity,2013,"787,480",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Electricity,2014,"486,280",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Electricity,2015,"521,680",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Electricity,2016, - ,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Electricity,2017, - ,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Electricity,2018, - ,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Electricity,2019, - ,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2005, - ,Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2006, - ,Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2007, - ,Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2008, - ,Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2009,"43,750",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2010,"40,854",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2011,"41,434",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2012,"34,730",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2013,"42,952",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2014,"28,099",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2015, - ,Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2016, - ,Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2017, - ,Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
