Protocol,Department Longname,Department,Sector,Fuel Type,Year (Fiscal Year),GHG Emissions (t CO2e),,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Buildings,Electricity,2005,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Buildings,Electricity,2006,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Buildings,Electricity,2007,184,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Buildings,Electricity,2008,128,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Buildings,Electricity,2009,165,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Buildings,Electricity,2010,172,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Buildings,Electricity,2011,198,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Buildings,Electricity,2012,209,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Buildings,Electricity,2013,260,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Buildings,Electricity,2014,161,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Buildings,Electricity,2015,175,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Buildings,Electricity,2016,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Buildings,Electricity,2017,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Buildings,Electricity,2018,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Buildings,Electricity,2019,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2005,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2006,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2007,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2008,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2009,233,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2010,217,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2011,220,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2012,185,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2013,228,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2014,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2015,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2016,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2017,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2018,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Buildings,Natural Gas,2019,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Vehicles,Gasoline,2005, - ,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Vehicles,Gasoline,2006, - ,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Vehicles,Gasoline,2007,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Vehicles,Gasoline,2008,3,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Vehicles,Gasoline,2009,5,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Vehicles,Gasoline,2010,4,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Vehicles,Gasoline,2011,6,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Vehicles,Gasoline,2012,4,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Vehicles,Gasoline,2013,5,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Vehicles,Gasoline,2014,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Vehicles,Gasoline,2015,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Vehicles,Gasoline,2016,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Vehicles,Gasoline,2017,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Vehicles,Gasoline,2018,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,"Arts, Tourism and Special events",Arts,Vehicles,Gasoline,2019,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Electricity,2005,"30,483",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Electricity,2006,"26,586",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Electricity,2007,"26,114",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Electricity,2008,"26,937",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Electricity,2009,"22,800",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Electricity,2010,"19,759",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Electricity,2011,"18,006",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Electricity,2012,"16,542",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Electricity,2013,"15,713",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Electricity,2014,"15,598",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Electricity,2015,"18,106",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Electricity,2016,"18,049",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Electricity,2017,"14,066",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Electricity,2018,"17,373",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Electricity,2019,"16,376",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Fuel Oil,2005,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Fuel Oil,2006,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Fuel Oil,2007,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Fuel Oil,2008,44,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Fuel Oil,2009,38,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Fuel Oil,2010,39,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Fuel Oil,2011,70,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Fuel Oil,2012,48,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Fuel Oil,2013,56,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Fuel Oil,2014,124,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Fuel Oil,2015,0,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Fuel Oil,2016,33,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Fuel Oil,2017,46,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Fuel Oil,2018,58,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Fuel Oil,2019,60,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Natural Gas,2005,"34,721",,,,,,,,,
